district,elevation,monthly_rainfall_mm,avg_temp_c,soil_nitrogen,soil_phosphorus,soil_potassium,soil_ph,fertilizer_type,drainage_quality,yield_mt_per_hec,recorded_date
Ratnapura,Low,271.6,28.1,48.6,38.0,28.2,4.8,Combo,Poor,0.965,1962-03-01
Nuwara Eliya,High,290.7,11.1,69.6,33.9,19.4,5.0,Combo,Poor,0.871,1962-01-30
Kegalle,Mid,109.1,29.9,63.3,22.7,53.7,5.2,Chemical,Good,0.925,1961-12-31
Kegalle,Mid,201.4,27.3,39.5,33.1,29.6,5.1,Combo,Good,1.061,1961-12-01
Ratnapura,Low,169.1,30.1,70.7,36.5,15.7,4.7,Chemical,Good,1.094,1961-11-01
Matale,Mid,229.2,29.7,29.3,34.1,33.2,5.6,Organic,Poor,0.589,1961-10-02
Matale,Mid,198.5,23.7,72.0,13.9,56.8,5.6,Combo,Good,1.748,1961-09-02
Matale,Mid,87.7,26.1,59.3,25.8,55.9,5.6,Organic,Poor,0.806,1961-08-03
Kandy,Mid,264.3,21.6,59.0,19.6,40.8,5.4,Organic,Fair,0.971,1961-07-04
Galle,Low,291.0,31.9,24.9,10.0,16.1,4.8,Combo,Good,0.344,1961-06-04
Galle,Low,198.0,26.4,37.3,36.7,36.8,4.9,Chemical,Good,1.045,1961-05-05
Ratnapura,Low,230.8,25.6,79.9,19.4,47.0,4.7,Chemical,Fair,1.473,1961-04-05
Galle,Low,297.9,28.8,65.2,25.6,56.1,5.4,Organic,Poor,0.811,1961-03-06
Kalutara,Low,220.6,31.5,31.1,36.0,39.4,4.9,Organic,Good,0.601,1961-02-04
Kalutara,Low,317.5,27.2,38.7,27.8,36.3,4.6,Organic,Good,0.546,1961-01-05
Ratnapura,Low,227.8,32.0,46.4,32.3,45.0,5.2,Combo,Poor,0.942,1960-12-06
Nuwara Eliya,High,100.7,15.8,58.6,30.2,43.7,4.9,Organic,Good,0.755,1960-11-06
Nuwara Eliya,High,101.0,18.7,22.3,17.1,52.7,4.7,Organic,Good,0.485,1960-10-07
Ratnapura,Low,206.9,26.5,31.2,29.0,54.6,5.0,Combo,Poor,1.055,1960-09-07
Kalutara,Low,251.3,30.0,22.7,11.0,41.5,4.7,Organic,Poor,0.398,1960-08-08
Kalutara,Low,258.6,24.5,54.7,26.1,41.2,4.7,Organic,Fair,0.908,1960-07-09
Badulla,High,186.5,15.3,59.5,37.6,15.4,5.2,Combo,Good,1.197,1960-06-09
Kalutara,Low,188.5,24.5,73.7,26.1,32.2,4.7,Combo,Fair,1.65,1960-05-10
Kandy,Mid,194.7,19.4,52.8,24.4,33.4,4.9,Combo,Fair,1.303,1960-04-10
Matale,Mid,255.3,22.0,56.2,39.4,36.2,5.1,Organic,Poor,1.092,1960-03-11
Matale,Mid,194.2,27.1,49.9,14.6,19.4,5.4,Combo,Good,0.976,1960-02-10
Ratnapura,Low,174.8,31.6,68.6,36.5,29.9,5.2,Organic,Good,0.873,1960-01-11
Kandy,Mid,217.7,21.2,61.4,25.0,45.6,5.0,Organic,Fair,1.182,1959-12-12
Ratnapura,Low,224.8,23.5,75.0,31.6,36.8,4.7,Organic,Good,1.295,1959-11-12
Matale,Mid,243.9,24.2,66.6,19.9,34.3,5.5,Combo,Poor,1.357,1959-10-13
Matale,Mid,179.1,29.5,27.9,38.0,32.9,5.1,Chemical,Fair,0.756,1959-09-13
Kegalle,Mid,112.5,21.8,71.4,10.9,22.1,5.1,Chemical,Poor,1.104,1959-08-14
Matale,Mid,83.2,27.3,75.1,33.1,45.0,5.3,Organic,Good,0.883,1959-07-15
Nuwara Eliya,High,144.6,12.7,40.1,23.2,37.9,5.0,Combo,Fair,0.735,1959-06-15
Ratnapura,Low,242.4,26.9,65.3,26.1,51.7,5.0,Chemical,Poor,1.258,1959-05-16
Kandy,Mid,86.0,22.6,36.3,13.2,25.3,5.0,Chemical,Fair,0.626,1959-04-16
Matale,Mid,223.5,24.7,69.5,16.2,28.4,5.3,Combo,Fair,1.406,1959-03-17
Kegalle,Mid,115.3,23.8,52.3,22.9,37.8,4.8,Chemical,Poor,0.986,1959-02-15
Kalutara,Low,189.0,23.5,74.4,20.8,57.1,5.0,Combo,Poor,1.822,1959-01-16
Kegalle,Mid,167.4,22.6,39.4,37.7,52.8,5.3,Chemical,Fair,1.236,1958-12-17
Matale,Mid,90.7,24.7,46.0,24.8,26.5,5.0,Chemical,Poor,0.779,1958-11-17
Galle,Low,193.7,30.2,45.6,21.1,59.5,5.1,Organic,Poor,0.791,1958-10-18
Matale,Mid,209.5,24.4,78.1,17.4,23.8,5.3,Combo,Fair,1.588,1958-09-18
Kandy,Mid,250.8,24.5,42.0,15.6,26.0,5.0,Chemical,Good,0.812,1958-08-19
Kalutara,Low,305.4,30.5,72.3,10.3,41.3,4.8,Combo,Good,0.899,1958-07-20
Nuwara Eliya,High,109.6,16.0,45.6,35.0,55.3,4.8,Organic,Poor,0.742,1958-06-20
Nuwara Eliya,High,100.2,11.5,35.1,20.5,41.8,4.9,Organic,Good,0.425,1958-05-21
Nuwara Eliya,High,218.5,16.6,32.6,24.8,46.8,4.7,Organic,Fair,0.703,1958-04-21
Nuwara Eliya,High,180.4,12.3,51.5,39.1,20.4,4.9,Combo,Fair,0.96,1958-03-22
Kalutara,Low,245.8,32.9,20.4,12.8,34.6,4.5,Combo,Fair,0.421,1958-02-20
Badulla,High,191.3,16.5,24.4,15.2,51.2,5.1,Organic,Poor,0.583,1958-01-21
Badulla,High,212.2,22.6,65.4,15.6,28.0,5.2,Organic,Poor,1.112,1957-12-22
Ratnapura,Low,232.0,32.5,49.9,19.9,57.1,5.1,Chemical,Good,0.835,1957-11-22
Ratnapura,Low,177.0,31.1,44.9,17.3,28.3,5.0,Chemical,Poor,0.722,1957-10-23
Kalutara,Low,339.1,23.3,37.9,19.8,20.5,4.7,Chemical,Good,0.593,1957-09-23
Galle,Low,298.8,24.6,52.7,39.7,43.4,5.0,Organic,Good,0.878,1957-08-24
Galle,Low,139.5,30.5,33.9,36.4,23.5,5.0,Chemical,Good,0.652,1957-07-25
Ratnapura,Low,171.9,24.2,75.7,23.0,39.8,5.1,Chemical,Poor,1.494,1957-06-25
Kalutara,Low,282.2,23.4,75.5,37.1,15.7,4.8,Combo,Good,1.425,1957-05-26
Galle,Low,279.5,33.3,21.1,32.0,56.4,5.0,Chemical,Fair,0.519,1957-04-26
Ratnapura,Low,232.5,23.1,31.8,38.0,48.7,4.9,Organic,Fair,0.893,1957-03-27
Ratnapura,Low,327.5,24.9,60.8,25.9,20.2,4.8,Organic,Poor,0.699,1957-02-25
Kandy,Mid,120.0,23.2,26.0,38.3,23.8,5.2,Organic,Good,0.604,1957-01-26
Galle,Low,268.8,30.3,66.6,25.4,26.2,5.0,Combo,Good,0.996,1956-12-27
Matale,Mid,172.8,22.7,55.5,26.2,53.9,5.2,Organic,Poor,1.141,1956-11-27
Nuwara Eliya,High,136.6,12.9,76.5,37.1,17.5,4.7,Combo,Poor,1.119,1956-10-28
Ratnapura,Low,198.8,31.0,55.0,25.2,15.1,5.0,Chemical,Poor,0.879,1956-09-28
Galle,Low,291.6,27.4,29.7,13.9,53.7,5.2,Chemical,Good,0.617,1956-08-29
Kandy,Mid,268.8,21.3,69.5,31.1,53.3,5.2,Chemical,Fair,1.451,1956-07-30
Kalutara,Low,155.0,28.7,40.0,13.0,17.1,4.7,Combo,Good,0.676,1956-06-30
Nuwara Eliya,High,141.3,13.3,39.1,38.8,59.2,4.9,Organic,Fair,0.711,1956-05-31
Kalutara,Low,313.9,23.2,26.5,35.8,27.7,4.5,Combo,Good,0.721,1956-05-01
Kandy,Mid,278.6,24.7,67.0,21.0,23.2,5.0,Combo,Fair,1.169,1956-04-01
Badulla,High,153.4,21.9,59.9,32.5,51.7,5.2,Combo,Good,1.577,1956-03-02
Matale,Mid,80.8,23.6,21.7,38.5,38.6,5.1,Chemical,Fair,0.667,1956-02-01
Galle,Low,181.2,28.8,42.1,34.9,36.2,5.4,Chemical,Good,0.935,1956-01-02
Kalutara,Low,312.3,25.9,20.2,27.4,32.3,4.4,Chemical,Good,0.513,1955-12-03
Badulla,High,165.9,20.5,24.4,10.8,25.4,4.8,Organic,Fair,0.48,1955-11-03
Kandy,Mid,118.0,28.3,53.1,22.2,36.2,5.4,Combo,Poor,0.907,1955-10-04
Matale,Mid,119.8,25.8,56.1,19.0,25.0,5.1,Chemical,Poor,0.899,1955-09-04
Badulla,High,72.7,24.9,78.5,30.5,37.1,5.0,Combo,Fair,1.244,1955-08-05
Kalutara,Low,294.1,30.0,68.0,17.2,15.7,4.6,Chemical,Poor,0.787,1955-07-06
Kandy,Mid,128.7,25.3,40.6,16.0,42.5,5.2,Organic,Good,0.66,1955-06-06
Kegalle,Mid,134.4,21.5,64.9,25.7,52.7,5.0,Combo,Fair,1.51,1955-05-07
Ratnapura,Low,160.1,23.5,39.7,22.1,59.2,4.9,Organic,Fair,0.88,1955-04-07
Ratnapura,Low,156.7,23.7,69.1,33.3,27.7,4.9,Organic,Fair,1.129,1955-03-08
Galle,Low,254.3,28.7,22.1,16.2,46.3,5.4,Combo,Poor,0.603,1955-02-06
Ratnapura,Low,323.6,26.9,57.2,32.6,56.0,5.0,Combo,Good,1.028,1955-01-07
Kegalle,Mid,245.5,25.6,68.2,18.7,32.1,4.8,Chemical,Good,1.189,1954-12-08
Kalutara,Low,245.2,23.1,65.0,29.6,45.2,4.6,Organic,Poor,1.157,1954-11-08
Kalutara,Low,270.3,23.6,53.7,12.1,49.7,4.4,Combo,Poor,1.127,1954-10-09
Badulla,High,209.3,16.6,77.2,26.3,54.0,5.0,Combo,Poor,1.648,1954-09-09
Ratnapura,Low,283.7,31.5,40.9,22.4,19.4,5.1,Organic,Good,0.453,1954-08-10
Ratnapura,Low,308.5,31.6,23.8,39.2,36.8,4.8,Chemical,Fair,0.509,1954-07-11
Kegalle,Mid,227.1,28.2,58.5,16.4,50.0,5.2,Organic,Fair,0.889,1954-06-11
Ratnapura,Low,305.2,27.6,58.0,15.4,45.1,5.0,Chemical,Good,0.839,1954-05-12
Ratnapura,Low,262.4,29.2,71.7,24.9,35.0,5.2,Chemical,Good,1.065,1954-04-12
Kegalle,Mid,97.9,28.7,33.1,22.8,53.4,4.8,Combo,Fair,0.711,1954-03-13
Ratnapura,Low,158.1,32.5,42.6,12.1,24.3,5.1,Combo,Good,0.624,1954-02-11
Ratnapura,Low,219.4,23.4,76.7,38.7,24.2,5.1,Chemical,Fair,1.642,1954-01-12
Kalutara,Low,316.4,32.4,47.6,22.2,50.9,4.6,Chemical,Good,0.624,1953-12-13
Badulla,High,225.8,24.4,60.3,23.6,47.8,4.9,Chemical,Good,1.334,1953-11-13
Kandy,Mid,278.2,26.0,25.8,27.6,46.8,5.3,Chemical,Poor,0.708,1953-10-14
Matale,Mid,172.6,27.4,41.0,27.3,46.3,5.2,Chemical,Poor,0.956,1953-09-14
Kalutara,Low,262.7,30.7,31.9,34.3,48.4,4.7,Chemical,Poor,0.708,1953-08-15
Nuwara Eliya,High,279.7,13.6,28.0,17.6,42.1,5.0,Organic,Good,0.429,1953-07-16
Ratnapura,Low,164.2,30.0,30.7,39.2,59.9,4.7,Combo,Poor,0.944,1953-06-16
Nuwara Eliya,High,141.6,15.4,47.8,35.2,58.3,5.1,Chemical,Poor,1.014,1953-05-17
Nuwara Eliya,High,154.9,19.2,52.6,22.4,15.8,4.9,Combo,Poor,1.039,1953-04-17
Kegalle,Mid,285.3,22.6,68.0,19.1,48.2,4.8,Chemical,Fair,1.268,1953-03-18
Badulla,High,103.7,15.0,23.0,29.5,40.2,4.8,Combo,Poor,0.594,1953-02-16
Kandy,Mid,196.8,20.9,38.2,25.2,49.2,5.2,Combo,Poor,1.248,1953-01-17
Matale,Mid,70.1,23.9,59.0,20.5,58.8,5.2,Combo,Poor,1.083,1952-12-18
Ratnapura,Low,322.4,30.8,60.0,25.4,53.4,5.3,Organic,Fair,0.641,1952-11-18
Ratnapura,Low,211.6,29.5,57.6,12.4,32.1,4.8,Chemical,Good,0.932,1952-10-19
Ratnapura,Low,312.6,24.9,63.4,10.5,59.7,5.2,Organic,Poor,0.819,1952-09-19
Matale,Mid,241.3,28.0,22.8,17.6,51.3,5.0,Combo,Fair,0.689,1952-08-20
Kandy,Mid,155.7,26.7,76.9,27.3,23.2,5.1,Organic,Good,1.037,1952-07-21
Badulla,High,204.9,17.9,76.4,33.8,30.5,5.0,Chemical,Good,1.534,1952-06-21
Matale,Mid,102.1,22.2,76.0,12.7,45.3,5.1,Combo,Poor,1.368,1952-05-22
Kegalle,Mid,130.5,23.4,54.6,25.3,17.8,4.9,Combo,Good,1.092,1952-04-22
Kegalle,Mid,151.9,27.0,75.4,10.1,57.9,5.2,Combo,Good,1.38,1952-03-23
Kalutara,Low,214.4,24.7,48.4,32.1,24.8,4.5,Chemical,Poor,1.125,1952-02-22
Kandy,Mid,198.9,21.7,37.6,10.5,53.0,5.4,Chemical,Good,1.059,1952-01-23
Galle,Low,211.0,24.8,57.1,35.0,58.2,5.1,Combo,Poor,1.608,1951-12-24
Galle,Low,233.7,28.6,49.7,31.6,17.7,5.2,Combo,Fair,0.98,1951-11-24
Ratnapura,Low,205.0,23.3,28.8,21.3,25.6,5.1,Chemical,Poor,0.809,1951-10-25
Galle,Low,291.4,29.5,25.3,39.9,23.9,5.0,Chemical,Good,0.556,1951-09-25
Badulla,High,103.5,23.7,48.8,25.3,52.5,4.8,Combo,Fair,1.086,1951-08-26
Nuwara Eliya,High,282.6,12.9,45.8,18.7,31.0,4.6,Organic,Good,0.518,1951-07-27
Badulla,High,178.5,21.1,62.9,24.9,42.9,4.9,Chemical,Fair,1.446,1951-06-27
Ratnapura,Low,286.5,24.4,46.2,38.9,23.7,5.3,Chemical,Fair,0.931,1951-05-28
Kegalle,Mid,161.6,25.6,42.3,36.3,30.8,5.1,Combo,Fair,1.099,1951-04-28
Galle,Low,159.3,27.1,43.1,19.8,41.2,5.1,Combo,Fair,0.957,1951-03-29
Kalutara,Low,181.9,28.6,57.5,33.9,59.7,4.6,Combo,Fair,1.361,1951-02-27
Kandy,Mid,267.6,20.1,52.8,21.0,52.9,5.0,Combo,Fair,1.205,1951-01-28
Badulla,High,197.0,22.7,22.6,13.0,32.5,5.0,Chemical,Good,0.693,1950-12-29
Ratnapura,Low,155.2,24.7,65.4,21.7,38.9,4.8,Combo,Fair,1.377,1950-11-29
Ratnapura,Low,215.3,31.3,76.2,14.3,28.7,5.1,Organic,Fair,0.862,1950-10-30
Kalutara,Low,316.4,23.7,26.3,27.2,37.9,4.7,Chemical,Fair,0.637,1950-09-30
Nuwara Eliya,High,116.8,15.3,77.0,27.5,25.6,4.6,Combo,Fair,1.14,1950-08-31
Badulla,High,196.4,23.8,45.1,21.9,54.2,4.6,Organic,Fair,1.012,1950-08-01
Kalutara,Low,307.0,28.6,31.0,31.1,39.9,4.9,Combo,Poor,0.672,1950-07-02
Kegalle,Mid,109.1,22.2,26.1,38.2,49.8,4.8,Organic,Good,0.72,1950-06-02
Badulla,High,128.2,23.7,22.2,23.0,57.4,4.9,Chemical,Fair,0.758,1950-05-03
Galle,Low,260.8,27.6,49.4,32.6,23.1,5.2,Combo,Good,0.976,1950-04-03
Kegalle,Mid,260.8,29.2,75.0,25.7,39.3,5.0,Combo,Poor,1.24,1950-03-04
Kegalle,Mid,235.9,28.1,58.4,37.3,44.9,5.0,Chemical,Poor,1.188,1950-02-02
Ratnapura,Low,340.3,32.4,43.4,35.9,42.2,4.9,Organic,Good,0.467,1950-01-03
Nuwara Eliya,High,258.4,19.6,57.4,24.8,39.6,4.6,Chemical,Fair,1.152,1949-12-04
Kalutara,Low,164.8,30.2,51.5,13.0,40.3,4.4,Combo,Poor,0.905,1949-11-04
Nuwara Eliya,High,126.1,14.8,53.4,37.6,33.5,4.9,Combo,Poor,1.001,1949-10-05
Ratnapura,Low,341.5,30.6,45.6,22.8,25.9,4.9,Organic,Good,0.437,1949-09-05
Kandy,Mid,259.2,25.3,22.1,25.4,23.8,5.0,Organic,Good,0.479,1949-08-06
Nuwara Eliya,High,245.7,19.6,73.1,21.3,32.6,5.0,Combo,Poor,1.454,1949-07-07
Matale,Mid,188.1,20.9,30.9,31.9,42.8,5.2,Combo,Fair,1.121,1949-06-07
Kalutara,Low,174.7,27.2,75.8,33.0,34.5,4.7,Chemical,Poor,1.405,1949-05-08
Kandy,Mid,209.8,21.3,62.5,37.6,28.5,5.5,Organic,Poor,1.253,1949-04-08
Nuwara Eliya,High,222.2,18.8,43.6,25.1,52.2,5.0,Combo,Poor,1.199,1949-03-09
Ratnapura,Low,333.8,24.9,78.7,34.9,34.9,4.9,Organic,Poor,0.923,1949-02-07
Matale,Mid,106.9,26.5,72.4,36.6,57.5,5.0,Chemical,Good,1.262,1949-01-08
Galle,Low,244.4,25.8,63.0,21.9,27.4,5.2,Combo,Good,1.228,1948-12-09
Kalutara,Low,211.2,24.0,44.9,39.3,22.1,4.8,Combo,Fair,1.269,1948-11-09
Kalutara,Low,243.0,23.9,29.0,10.7,31.2,4.5,Combo,Good,0.726,1948-10-10
Kegalle,Mid,205.8,21.5,66.9,16.6,29.3,5.2,Chemical,Fair,1.418,1948-09-10
Galle,Low,239.0,31.4,46.0,37.5,16.2,4.9,Organic,Fair,0.624,1948-08-11
Ratnapura,Low,223.7,33.0,73.2,10.6,58.2,4.9,Organic,Good,0.827,1948-07-12
Kalutara,Low,248.4,24.2,66.3,27.0,58.3,5.0,Organic,Good,1.155,1948-06-12
Matale,Mid,202.8,20.4,28.7,37.9,17.0,5.2,Chemical,Fair,0.903,1948-05-13
Kegalle,Mid,211.0,27.1,33.7,18.5,23.9,4.7,Organic,Good,0.587,1948-04-13
Kegalle,Mid,171.8,29.6,24.7,28.2,21.5,4.7,Organic,Poor,0.474,1948-03-14
Nuwara Eliya,High,285.5,19.7,79.0,36.2,28.4,5.0,Combo,Poor,1.477,1948-02-13
Kandy,Mid,192.5,20.2,79.6,36.1,20.8,5.1,Combo,Poor,1.835,1948-01-14
Ratnapura,Low,308.8,32.9,72.1,37.2,43.2,5.2,Chemical,Good,0.852,1947-12-15
Nuwara Eliya,High,293.6,14.3,23.5,30.3,29.8,4.9,Organic,Good,0.409,1947-11-15
Nuwara Eliya,High,257.2,17.8,50.1,17.7,15.4,4.5,Chemical,Fair,0.812,1947-10-16
Galle,Low,121.3,28.5,44.6,26.2,47.0,5.2,Chemical,Poor,0.825,1947-09-16
Nuwara Eliya,High,275.7,13.6,64.1,20.5,39.9,4.5,Combo,Fair,0.97,1947-08-17
Ratnapura,Low,209.0,24.4,63.8,13.7,58.2,5.0,Combo,Poor,1.531,1947-07-18
Nuwara Eliya,High,222.3,17.1,45.5,30.3,15.5,4.5,Chemical,Good,0.917,1947-06-18
Kandy,Mid,135.2,20.8,67.0,13.8,31.7,5.0,Organic,Fair,0.954,1947-05-19
Kandy,Mid,183.6,19.3,50.0,23.8,22.4,5.3,Organic,Fair,0.864,1947-04-19
Badulla,High,121.3,20.1,42.6,21.4,57.4,5.0,Organic,Poor,0.799,1947-03-20
Ratnapura,Low,279.3,24.1,44.9,10.0,43.2,5.0,Combo,Poor,0.92,1947-02-18
Nuwara Eliya,High,253.8,13.3,61.0,38.1,20.0,4.7,Chemical,Fair,0.93,1947-01-19
Matale,Mid,204.5,24.1,33.9,12.2,33.5,5.2,Organic,Poor,0.67,1946-12-20
Badulla,High,131.0,24.6,36.5,36.4,35.3,5.1,Organic,Good,0.74,1946-11-20
Matale,Mid,137.7,29.7,74.4,36.0,42.6,5.5,Chemical,Fair,1.173,1946-10-21
Matale,Mid,151.2,23.3,27.7,21.5,39.6,5.5,Chemical,Fair,0.776,1946-09-21
Matale,Mid,206.5,26.6,42.4,25.1,33.1,5.2,Organic,Fair,0.788,1946-08-22
Galle,Low,234.3,27.1,68.0,23.8,24.0,4.9,Chemical,Poor,1.148,1946-07-23
Badulla,High,221.5,18.8,22.1,39.9,28.9,5.1,Chemical,Poor,0.81,1946-06-23
Kalutara,Low,335.4,29.0,26.8,38.5,27.3,4.5,Organic,Good,0.414,1946-05-24
Matale,Mid,174.1,26.4,39.6,39.9,27.7,5.4,Organic,Good,0.802,1946-04-24
Ratnapura,Low,183.2,29.1,51.7,34.2,38.1,5.0,Chemical,Good,1.059,1946-03-25
Badulla,High,195.3,21.4,30.3,18.4,35.4,5.1,Combo,Good,0.972,1946-02-23
Matale,Mid,147.7,27.7,68.4,39.1,27.7,5.5,Organic,Good,0.98,1946-01-24
Ratnapura,Low,249.0,32.4,44.4,29.9,56.1,5.2,Combo,Good,0.874,1945-12-25
Ratnapura,Low,221.4,31.3,42.9,35.2,47.8,4.8,Organic,Fair,0.738,1945-11-25
Galle,Low,263.6,32.3,76.9,10.4,31.0,5.2,Organic,Good,0.716,1945-10-26
Kandy,Mid,101.2,20.1,68.9,35.9,27.6,5.4,Organic,Good,0.959,1945-09-26
Kalutara,Low,276.1,28.4,24.9,15.5,55.7,4.7,Organic,Fair,0.482,1945-08-27
Badulla,High,190.7,24.9,67.5,17.6,28.4,5.0,Organic,Good,1.073,1945-07-28
Nuwara Eliya,High,178.0,12.8,40.7,17.8,20.1,5.1,Organic,Fair,0.526,1945-06-28
Kandy,Mid,167.4,23.3,49.2,31.3,48.0,5.0,Combo,Fair,1.382,1945-05-29
Kegalle,Mid,128.3,28.7,37.0,12.8,23.4,5.0,Organic,Good,0.462,1945-04-29
Galle,Low,310.9,28.8,76.7,16.5,48.3,5.1,Organic,Good,0.794,1945-03-30
Badulla,High,53.2,23.9,48.3,36.9,40.3,4.8,Organic,Fair,0.695,1945-02-28
Galle,Low,199.6,29.3,20.5,35.7,38.4,5.0,Chemical,Poor,0.712,1945-01-29
Kandy,Mid,108.4,20.8,20.8,39.0,32.7,5.2,Organic,Fair,0.572,1944-12-30
Ratnapura,Low,298.0,30.1,30.3,28.1,36.8,4.8,Chemical,Fair,0.564,1944-11-30
Kegalle,Mid,268.3,25.3,69.1,16.5,23.4,4.9,Chemical,Good,1.071,1944-10-31
Kalutara,Low,187.0,23.4,50.2,37.3,57.0,4.8,Combo,Fair,1.578,1944-10-01
Ratnapura,Low,260.2,27.8,56.2,31.2,40.1,5.2,Organic,Good,0.839,1944-09-01
Kalutara,Low,141.4,31.0,46.8,33.6,27.0,4.7,Combo,Good,0.828,1944-08-02
Badulla,High,53.2,20.1,29.9,16.5,41.8,4.9,Organic,Fair,0.45,1944-07-03
Kegalle,Mid,256.6,23.2,55.7,31.7,44.4,4.9,Combo,Poor,1.376,1944-06-03
Matale,Mid,178.1,22.6,52.7,34.3,24.7,5.2,Organic,Good,1.047,1944-05-04
Badulla,High,68.0,23.0,55.0,32.6,26.4,4.8,Organic,Good,0.742,1944-04-04
Kegalle,Mid,271.9,22.9,41.8,21.2,27.9,5.2,Chemical,Good,0.859,1944-03-05
Ratnapura,Low,215.8,25.4,67.5,29.0,18.2,5.1,Organic,Good,1.063,1944-02-04
Badulla,High,66.9,21.5,48.7,29.7,31.3,4.6,Organic,Poor,0.699,1944-01-05
Kalutara,Low,240.6,23.9,60.9,21.8,28.2,4.6,Chemical,Good,1.173,1943-12-06
Badulla,High,94.2,18.6,27.4,36.0,50.1,4.9,Chemical,Good,0.74,1943-11-06
Kandy,Mid,84.6,27.6,74.3,36.9,15.7,5.1,Chemical,Good,0.989,1943-10-07
Kandy,Mid,100.4,27.8,33.4,21.9,49.1,5.4,Chemical,Good,0.658,1943-09-07
Kalutara,Low,338.7,30.7,74.8,14.5,40.9,4.8,Organic,Fair,0.63,1943-08-08
Nuwara Eliya,High,225.0,15.2,50.4,29.5,15.6,4.9,Organic,Poor,0.723,1943-07-09
Kandy,Mid,99.4,26.5,70.5,25.9,43.7,5.1,Chemical,Fair,1.083,1943-06-09
Kandy,Mid,187.5,20.7,21.9,36.0,17.5,5.0,Organic,Fair,0.635,1943-05-10
Nuwara Eliya,High,116.9,19.9,79.5,39.4,29.0,4.7,Chemical,Good,1.398,1943-04-10
Kalutara,Low,317.0,28.9,47.0,36.2,35.6,4.7,Organic,Poor,0.615,1943-03-11
Matale,Mid,166.1,27.4,48.3,16.9,42.0,5.2,Combo,Poor,1.021,1943-02-09
Galle,Low,229.3,31.0,30.0,23.6,41.0,4.9,Combo,Poor,0.706,1943-01-10
Kegalle,Mid,110.8,28.3,27.4,31.6,58.2,5.2,Combo,Poor,0.771,1942-12-11
Kalutara,Low,310.0,31.3,30.4,10.5,22.1,4.8,Organic,Fair,0.306,1942-11-11
Galle,Low,126.1,24.9,43.5,31.8,53.9,5.2,Chemical,Fair,1.024,1942-10-12
Badulla,High,142.7,15.2,46.6,18.4,43.6,5.1,Combo,Fair,0.888,1942-09-12
Galle,Low,135.6,25.7,65.0,27.7,48.1,5.1,Organic,Poor,0.999,1942-08-13
Nuwara Eliya,High,137.0,14.8,27.5,27.7,24.9,4.9,Organic,Poor,0.47,1942-07-14
Ratnapura,Low,228.3,25.3,61.6,17.2,32.1,4.9,Organic,Poor,0.942,1942-06-14
Kegalle,Mid,240.9,22.0,71.9,12.6,27.5,5.3,Combo,Good,1.465,1942-05-15
Kalutara,Low,167.5,32.8,47.9,39.7,23.4,4.6,Combo,Good,0.855,1942-04-15
Galle,Low,143.3,27.1,49.9,14.2,49.4,5.1,Combo,Good,1.013,1942-03-16
Ratnapura,Low,275.2,29.5,74.6,11.5,59.7,4.8,Chemical,Poor,1.064,1942-02-14
Nuwara Eliya,High,273.6,16.0,55.0,26.1,47.7,5.1,Organic,Poor,0.785,1942-01-15
Matale,Mid,218.7,20.9,37.5,10.7,58.9,5.2,Organic,Poor,0.837,1941-12-16
Kalutara,Low,331.8,25.0,42.3,19.3,28.8,4.4,Combo,Good,0.703,1941-11-16
Nuwara Eliya,High,188.2,15.9,78.6,26.6,19.1,4.9,Combo,Fair,1.413,1941-10-17
Kegalle,Mid,273.5,30.7,49.4,33.8,45.0,5.2,Chemical,Poor,0.842,1941-09-17
Kegalle,Mid,181.8,29.9,41.3,39.3,38.8,4.8,Combo,Fair,1.014,1941-08-18
Matale,Mid,227.8,24.9,78.5,13.6,50.5,5.2,Organic,Poor,1.218,1941-07-19
Ratnapura,Low,205.8,30.0,71.3,28.7,51.0,4.8,Combo,Fair,1.403,1941-06-19
Kandy,Mid,188.6,20.2,74.8,38.5,40.0,5.3,Organic,Poor,1.412,1941-05-20
Badulla,High,192.4,18.3,21.1,13.1,17.1,4.9,Combo,Fair,0.553,1941-04-20
Kegalle,Mid,98.6,25.0,57.4,35.5,48.9,5.0,Combo,Poor,1.179,1941-03-21
Nuwara Eliya,High,106.2,19.9,35.0,28.3,20.8,5.0,Organic,Poor,0.575,1941-02-19
Badulla,High,183.9,23.0,42.6,13.1,20.9,5.1,Chemical,Fair,0.909,1941-01-20
Kegalle,Mid,171.0,23.8,66.4,24.9,50.1,4.8,Combo,Fair,1.593,1940-12-21
Nuwara Eliya,High,274.3,18.0,26.4,23.0,16.7,4.9,Combo,Good,0.599,1940-11-21
Kalutara,Low,172.2,24.0,54.3,22.2,42.9,4.7,Chemical,Good,1.219,1940-10-22
Kalutara,Low,314.5,31.2,30.8,16.3,32.0,4.8,Combo,Good,0.472,1940-09-22
Kalutara,Low,256.6,32.3,25.4,18.1,26.0,4.4,Combo,Fair,0.474,1940-08-23
Galle,Low,214.1,29.6,79.8,25.6,46.2,5.0,Organic,Good,1.111,1940-07-24
Matale,Mid,91.3,25.4,50.8,16.5,51.0,5.6,Chemical,Poor,0.862,1940-06-24
Ratnapura,Low,244.5,32.4,50.2,26.6,22.5,4.7,Organic,Fair,0.586,1940-05-25
Nuwara Eliya,High,161.3,14.9,63.4,32.3,17.5,5.0,Organic,Fair,0.838,1940-04-25
